2024-06-10T21:06:10.260-0400 [INFO]  provider: configuring client automatic mTLS
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_mux_provider="*schema.GRPCProviderServer" tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_chime_voice_connector_termination_credentials timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_athena_data_catalog tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_rpc=GetProviderSchema @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_resource_type=aws_ec2_traffic_mirror_target timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_glue_partition tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_rpc=GetProviderSchema timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_lambda_function_event_invoke_config tf_rpc=GetProviderSchema @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_api_gateway_rest_api_policy tf_rpc=GetProviderSchema timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_mux_provider="*schema.GRPCProviderServer" tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_ami_launch_permission tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_ebs_snapshot_copy tf_rpc=GetProviderSchema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_resource_type=aws_iam_server_certificate tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_mux_provider="*schema.GRPCProviderServer" tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2024-06-10T21:06:10.418-0400
2024-06-10T21:06:10.418-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_xray_group tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema timestamp=2024-06-10T21:06:10.418-0400
